language,budget,task,n_queries,examples_fit_mean,accuracy,f1,em,rougeL,tokens_in,tokens_out,latency_total_s,cost_total_usd,cost_per_correct
en,512,xnli,50,11.8,0.82,0.0,0.0,0.0,23626,118,33.13551889965311,0.0036147000000000006,8.816341463414636e-05
en,1024,xnli,50,22.0,0.82,0.0,0.0,0.0,47150,114,35.79295209981501,0.007140899999999997,0.00017416829268292677
en,2048,xnli,50,32.0,0.84,0.0,0.0,0.0,72000,120,29.04943069908768,0.010871999999999998,0.0002588571428571428
zh,512,xnli,50,6.44,0.78,0.0,0.0,0.0,16392,175,24.08619559952058,0.0025637999999999993,6.573846153846152e-05
zh,1024,xnli,50,17.72,0.8,0.0,0.0,0.0,33804,173,38.06884690001607,0.005174400000000001,0.00012936000000000002
zh,2048,xnli,50,29.5,0.76,0.0,0.0,0.0,67645,185,32.38827319978736,0.01025775,0.0002699407894736842
