tokenizer,dataset,n_pairs,mean_TP,median_TP,TP_ci_low,TP_ci_high,mean_context_shrinkage,mean_en_tokens,mean_zh_tokens,wilcoxon_stat,wilcoxon_pvalue
byte,flores200,1012,0.8955097313975612,0.8805031446540881,0.8848923326799605,0.9060963894480389,-0.1533820404293411,130.53359683794466,115.97332015810277,77262.0,1.5358367498268933e-79
char,flores200,1012,0.331317105062284,0.31074521123064813,0.32561973684099327,0.33726311706868584,-2.202960622838535,130.40513833992094,42.762845849802375,0.0,5.278447369123085e-167
qwen25,flores200,1012,1.0053607385427719,0.9655172413793104,0.9906200481807383,1.0202261657381884,-0.0420463783751062,27.297430830039527,27.436758893280633,194073.5,0.04083947850112089
tiktoken_cl100k,flores200,1012,1.8855208247336666,1.8514705882352942,1.862763911025806,1.9097402993831993,0.44853594724783113,26.863636363636363,50.284584980237156,1.5,3.3961144805293985e-167
tiktoken_o200k,flores200,1012,1.280664390869285,1.2371031746031746,1.2652154571743826,1.2969513458057946,0.18927078266506348,26.558300395256918,33.83596837944664,15490.5,5.828363323226334e-140
