tokenizer,mean_TP,TP_ci_low,TP_ci_high,mean_context_shrinkage,mean_en_tokens,mean_zh_tokens,wilcoxon_pvalue
char,0.331,0.326,0.337,-2.203,130.41,42.76,5.2784473691230844e-167
byte,0.896,0.885,0.906,-0.153,130.53,115.97,1.5358367498268933e-79
qwen25,1.005,0.991,1.02,-0.042,27.3,27.44,0.0408394785011208
tiktoken_o200k,1.281,1.265,1.297,0.189,26.56,33.84,5.828363323226334e-140
llama3,1.313,1.297,1.329,0.209,26.85,35.02,7.375101272927682e-149
tiktoken_cl100k,1.886,1.863,1.91,0.449,26.86,50.28,3.3961144805293985e-167
